Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500
County,01/01/2019 12:00:00 AM,01,AL,01059,Franklin County,4496.728767123287671,26865.271232876712,43390809,7722570,10951962,6420371,7149041,6770650,3149790,779549,354180,86158,6538
County,01/01/2019 12:00:00 AM,01,AL,01061,Geneva County,3054.452054794520548,23216.547945205479,41930430,8337326,11027555,5516915,6059851,7895349,2220039,645569,149775,64336,13715
County,01/01/2019 12:00:00 AM,01,AL,01063,Greene County,1158.665753424657534,6952.334246575342466,11342263,2130275,2511823,1605428,1513411,2127106,1087263,277058,75447,14452,0
County,01/01/2019 12:00:00 AM,01,AL,01065,Hale County,2096.567123287671233,12554.432876712329,21199204,4297414,4769055,2571443,3444361,4000866,1519855,400815,171752,17152,6491
County,01/01/2019 12:00:00 AM,01,AL,01067,Henry County,2067.328767123287671,15137.671232876712,26473498,5490387,5549262,3470235,3870047,5236700,2201321,428500,194466,21479,11101
County,01/01/2019 12:00:00 AM,01,AL,01069,Houston County,17943.024657534247,87938.975342465753,146735797,33864559,41360500,21313210,20250859,20579538,6069439,2278683,804186,159173,55650
County,01/01/2019 12:00:00 AM,01,AL,01071,Jackson County,8339.624657534246575,43286.375342465753,65287981,10955032,15392317,7992170,12523266,10702308,5981151,1221737,393601,100769,25630
County,01/01/2019 12:00:00 AM,01,AL,01073,Jefferson County,135546.115068493151,523026.884931506849,840073191,188071778,197514398,102382859,145907897,158679981,32453997,9051132,4702248,942482,366419
County,01/01/2019 12:00:00 AM,01,AL,01075,Lamar County,1896.093150684931507,11908.906849315068,19790601,3511051,5113496,2467772,3184326,3299224,1791114,319967,92716,9825,1110
County,01/01/2019 12:00:00 AM,01,AL,01077,Lauderdale County,15414.027397260274,77314.972602739726,122099154,25085508,31715240,18200557,17851199,18736072,6710983,2869421,688199,144390,97585
County,01/01/2019 12:00:00 AM,01,AL,01079,Lawrence County,3912.561643835616438,29011.438356164384,47252384,8467790,12469777,5922619,7008898,8878737,3638555,626527,184445,46764,8272
County,01/01/2019 12:00:00 AM,01,AL,01081,Lee County,27167.2,137374.8,228561726,46617830,59725400,32666458,43014063,33193881,9416047,2363311,1158259,184863,221614
County,01/01/2019 12:00:00 AM,01,AL,01083,Limestone County,15589.961643835616,83325.038356164384,114474705,18526433,27116407,15262326,20228841,24781325,6196760,1283957,686966,284014,107676
County,01/01/2019 12:00:00 AM,01,AL,01085,Lowndes County,1012.698630136986301,8713.301369863013699,13382212,2149468,2133054,1457112,2145566,3057672,1900678,298176,179061,39280,22145
County,01/01/2019 12:00:00 AM,01,AL,01087,Macon County,2943.561643835616438,15124.438356164384,31272350,6563225,8092694,3814866,4357382,5714601,2203730,360452,127800,25317,12283
County,01/01/2019 12:00:00 AM,01,AL,01089,Madison County,64811.257534246575,308097.742465753425,449399003,84153984,110184267,59976837,86410736,88890146,12853965,3561512,2295165,515957,556434
County,01/01/2019 12:00:00 AM,01,AL,01091,Marengo County,2516.821917808219178,16346.178082191781,26875371,5573302,7416887,2863629,3988001,4451483,1598426,750804,192918,32642,7279
County,01/01/2019 12:00:00 AM,01,AL,01093,Marion County,4352.504109589041096,25356.495890410959,38701396,6238408,9533333,5625617,6822054,6112781,2205156,1721772,303013,119737,19525
County,01/01/2019 12:00:00 AM,01,AL,01095,Marshall County,17536.383561643836,79237.616438356164,129427535,25698163,36884484,18121073,20187238,16087494,9403783,2298070,568659,113877,64694
County,01/01/2019 12:00:00 AM,01,AL,01097,Mobile County,68313.454794520548,344896.545205479452,581631666,131620014,140259128,72726117,102180693,94794858,27530342,8839423,2668964,819730,192397
County,01/01/2019 12:00:00 AM,01,AL,01099,Monroe County,2923.6,17809.4,27726458,4275439,5739505,4867642,5220175,4394935,1852501,1008088,328965,34733,4475
County,01/01/2019 12:00:00 AM,01,AL,01101,Montgomery County,43903.421917808219,182582.578082191781,303501452,70838543,78949298,46091889,58754015,35452745,7331074,3750025,1747101,318286,268476
County,01/01/2019 12:00:00 AM,01,AL,01103,Morgan County,20395.057534246575,99283.942465753425,153166005,31973019,42673973,21265886,20313039,23758665,10303323,1593207,950712,257230,76951
County,01/01/2019 12:00:00 AM,01,AL,01105,Perry County,1069.052054794520548,7853.947945205479452,12766596,2280846,3436769,1836303,1176301,1970350,1458101,451052,121239,29972,5663
County,01/01/2019 12:00:00 AM,01,AL,01107,Pickens County,2531.695890410958904,17398.304109589041,28303683,4551426,6160291,4360028,4081211,4460848,3464129,997029,200159,28562,0
County,01/01/2019 12:00:00 AM,01,AL,01109,Pike County,5011.47945205479452,28102.520547945205,48754709,9742956,13831013,6857580,6654110,6552846,2676923,1859125,458488,89769,31899
County,01/01/2019 12:00:00 AM,01,AL,01111,Randolph County,2968.92054794520548,19753.079452054795,32568501,6379231,6963910,5179953,4925029,4614239,3358224,942279,156587,33688,15361
County,01/01/2019 12:00:00 AM,01,AL,01113,Russell County,10035.813698630137,47925.186301369863,96046966,23227028,22367822,12806069,17735654,15322166,3609742,488696,378012,70283,41494
County,01/01/2019 12:00:00 AM,01,AL,01115,St. Clair County,13003.786301369863,76508.213698630137,121794524,17989570,28623466,18017697,19259906,23346386,12273427,1540053,527223,145152,71644
County,01/01/2019 12:00:00 AM,01,AL,01117,Shelby County,35769.268493150685,181932.731506849315,267409540,46886021,64903302,31683188,47978009,57167616,13086554,3773343,1359087,304752,267668
County,01/01/2019 12:00:00 AM,01,AL,01119,Sumter County,1594.753424657534247,10832.246575342466,16516106,2575506,4769870,965631,2699943,2705617,1850546,647438,226193,68174,7188
County,01/01/2019 12:00:00 AM,01,AL,01121,Talladega County,13865.254794520548,66112.745205479452,125360650,24742339,31201295,20299897,21082206,17998733,7778494,1640435,414580,126851,75820
County,01/01/2019 12:00:00 AM,01,AL,01123,Tallapoosa County,6541.904109589041096,33825.095890410959,56529162,8953971,15426650,8885225,8828683,8181888,4775119,1152889,245116,51084,28537
County,01/01/2019 12:00:00 AM,01,AL,01125,Tuscaloosa County,37253.638356164384,172101.361643835616,265905527,56810714,71285650,37548585,44219003,37474300,11819610,4751439,1587456,333826,74944
County,01/01/2019 12:00:00 AM,01,AL,01127,Walker County,9691.101369863013699,53829.898630136986,88121273,15799033,25903685,11842761,11556640,13993576,6234995,1891719,659885,219911,19068
County,01/01/2019 12:00:00 AM,01,AL,01129,Washington County,1645.797260273972603,14680.202739726027,23703474,4230496,5360694,2499272,3560172,4143935,2347454,1374127,158416,24760,4148
County,01/01/2019 12:00:00 AM,01,AL,01131,Wilcox County,1084.712328767123288,9288.287671232876712,15816319,2608257,4000090,1122080,3241269,2498126,1649279,537957,143113,6793,9355
County,01/01/2019 12:00:00 AM,01,AL,01133,Winston County,3037.531506849315068,20591.468493150685,33614384,6738609,8968264,4548119,5124354,4825729,2519252,662391,173657,43816,10193
County,01/01/2019 12:00:00 AM,02,AK,02013,Aleutians East Borough,2390.712121212121212,946.287878787878788,873281,484349,165059,37724,15748,3616,104582,27528,8756,0,25919
County,01/01/2019 12:00:00 AM,02,AK,02016,Aleutians West Census Area,1789.109271523178808,3844.890728476821192,5564820,2005288,1711355,429521,164606,637955,497303,45960,15046,16921,40865
County,01/01/2019 12:00:00 AM,02,AK,02020,Anchorage Municipality,57385.745205479452,230614.254794520548,493434152,132043107,144298506,78350766,83981947,40514671,11237434,1574517,557808,236138,639258
County,01/01/2019 12:00:00 AM,02,AK,02050,Bethel Census Area,7658.989041095890411,10727.01095890411,20996116,5535820,9022636,2214639,1641460,409566,1241088,415973,18699,425633,70602
County,01/01/2019 12:00:00 AM,02,AK,02060,Bristol Bay Borough,308.658227848101266,527.341772151898734,246815,97167,72524,35528,4221,21166,15649,0,0,560,0
County,01/01/2019 12:00:00 AM,02,AK,02068,Denali Borough,499.6375,1597.3625,2786934,1334245,257581,221453,124259,113691,496013,178568,43980,1789,15355
County,01/01/2019 12:00:00 AM,02,AK,02070,Dillingham Census Area,1747.137071651090343,3168.862928348909657,16395394,7988891,3310323,2570679,1500620,804915,68853,137174,3004,10935,0
County,01/01/2019 12:00:00 AM,02,AK,02090,Fairbanks North Star Borough,17003.545205479452,79845.454794520548,197065287,54106238,58182689,22862511,25055236,29744197,5307802,918281,558884,156740,172709
County,01/01/2019 12:00:00 AM,02,AK,02100,Haines Borough,906.832699619771863,1623.167300380228137,2695967,1115935,1180862,67876,158033,87090,71772,4717,0,2467,7215
County,01/01/2019 12:00:00 AM,02,AK,02105,Hoonah-Angoon Census Area,485.126153846153846,1662.873846153846154,3348078,725897,512762,1121273,21945,37529,838672,28639,45760,0,15601
County,01/01/2019 12:00:00 AM,02,AK,02110,Juneau City and Borough,7964.994520547945206,24009.005479452055,58477858,17511180,16951666,7674748,10255580,4755232,369896,207799,557237,59894,134626
County,01/01/2019 12:00:00 AM,02,AK,02122,Kenai Peninsula Borough,10821.191780821918,47886.808219178082,105452493,28992564,31940313,13694288,15386849,11042972,3096445,965601,183142,28924,121395
County,01/01/2019 12:00:00 AM,02,AK,02130,Ketchikan Gateway Borough,3376.53972602739726,10524.460273972603,24453587,7183796,9050714,3328287,3674149,927903,59554,146955,26026,27896,28307
County,01/01/2019 12:00:00 AM,02,AK,02150,Kodiak Island Borough,4031.876712328767123,8966.123287671232877,25409038,8638039,9604156,1192478,3887060,1869291,34010,16871,47702,37044,82387
County,01/01/2019 12:00:00 AM,02,AK,02158,Kusilvak Census Area,4541.17032967032967,3772.82967032967033,6020810,3015826,368084,296504,265540,1010376,601716,450537,8113,0,4114
County,01/01/2019 12:00:00 AM,02,AK,02164,Lake and Peninsula Borough,,,,,,,,,,,,,
County,01/01/2019 12:00:00 AM,02,AK,02170,Matanuska-Susitna Borough,20823.47397260274,87493.52602739726,164733941,32280648,47029801,20742384,25514443,21953955,13932740,2233888,718941,96355,230786
County,01/01/2019 12:00:00 AM,02,AK,02180,Nome Census Area,6475.158904109589041,3528.841095890410959,10285921,4954174,2157052,1662497,526181,354577,295628,207672,78176,0,49964
County,01/01/2019 12:00:00 AM,02,AK,02185,North Slope Borough,2358.421917808219178,7473.578082191780822,12071543,3864913,2471621,1283491,1595201,769937,983115,762615,74338,37000,229312
County,01/01/2019 12:00:00 AM,02,AK,02188,Northwest Arctic Borough,6434.791780821917808,1186.208219178082192,10636315,9424231,272554,205116,304396,256008,96019,22690,1859,2770,50672
County,01/01/2019 12:00:00 AM,02,AK,02195,Petersburg Borough,1445.275261324041812,1820.724738675958188,6365541,4068804,1548206,396747,184664,67557,48393,0,38242,0,12928
County,01/01/2019 12:00:00 AM,02,AK,02198,Prince of Wales-Hyder Census Area,2478.915068493150685,3724.084931506849315,9845802,4537530,1503650,730814,1577205,350315,328871,744421,15428,12859,44709
County,01/01/2019 12:00:00 AM,02,AK,02220,Sitka City and Borough,2909.832876712328767,5583.167123287671233,18377746,7563605,7676680,1348273,1364671,313533,1633,12253,57405,12842,26851
County,01/01/2019 12:00:00 AM,02,AK,02230,Skagway Municipality,295.558011049723757,887.441988950276243,819660,219833,361350,48473,0,128599,330,35670,6819,0,18586
County,01/01/2019 12:00:00 AM,02,AK,02240,Southeast Fairbanks Census Area,1323.345205479452055,5569.654794520547945,10116450,2937910,2500333,616371,1354225,1586875,582184,202210,304174,15137,17031
County,01/01/2019 12:00:00 AM,02,AK,02261,Valdez-Cordova Census Area,2460.126027397260274,6741.873972602739726,12968467,3656348,3937948,1127007,2393439,948085,589238,172665,107538,5255,30944
County,01/01/2019 12:00:00 AM,02,AK,02275,Wrangell City and Borough,1585.22027972027972,916.77972027972028,6545893,5579455,752630,35152,83448,71987,19441,0,0,0,3780
County,01/01/2019 12:00:00 AM,02,AK,02282,Yakutat City and Borough,,,,,,,,,,,,,
County,01/01/2019 12:00:00 AM,02,AK,02290,Yukon-Koyukuk Census Area,2670.446351931330472,2559.553648068669528,6254878,2080828,413847,1081932,99907,214387,223922,1952159,154646,19958,13292
County,01/01/2019 12:00:00 AM,04,AZ,04001,Apache County,12067.32602739726,59819.67397260274,115429094,26392936,24414293,8963030,15722034,18753137,13670725,5728191,1522498,207689,54561
County,01/01/2019 12:00:00 AM,04,AZ,04003,Cochise County,27709.372602739726,98212.627397260274,183547156,47023242,51469061,24127534,23015247,19097733,10830238,6479525,1020819,295732,188025
County,01/01/2019 12:00:00 AM,04,AZ,04005,Coconino County,27260.035616438356,116215.964383561644,234141351,57997530,61023981,33985806,31552828,22320988,13550846,10727884,2419088,381790,180610
County,01/01/2019 12:00:00 AM,04,AZ,04007,Gila County,11851.843835616438,42166.156164383562,78889400,20444982,23673372,7841094,12508483,7888591,3438239,2725183,197897,57465,114094
County,01/01/2019 12:00:00 AM,04,AZ,04009,Graham County,6995.621917808219178,31841.378082191781,60461314,14245357,19163501,7534832,7845241,5509897,4006854,1553705,514405,39763,47759
County,01/01/2019 12:00:00 AM,04,AZ,04011,Greenlee County,2160.876712328767123,7337.123287671232877,14237127,4349776,4411487,815203,1495665,1152742,1535085,345193,121233,6448,4295
County,01/01/2019 12:00:00 AM,04,AZ,04012,La Paz County,4959.32054794520548,16148.679452054795,29666928,7769071,5901085,2194084,4758589,5088083,2057877,1317537,447657,74402,58543
County,01/01/2019 12:00:00 AM,04,AZ,04013,Maricopa County,847265.150684931507,3638148.849315068493,6206326784,1561072977,1556274379,775759852,968613311,1022916406,235531499,38417279,29195199,8284681,10261201
County,01/01/2019 12:00:00 AM,04,AZ,04015,Mohave County,45864.961643835616,166316.038356164384,267123118,50823223,77490583,47401631,42521311,24476568,12232537,7471980,3819807,621711,263767
County,01/01/2019 12:00:00 AM,04,AZ,04017,Navajo County,22291.547945205479,88632.452054794521,162047738,34900109,41809522,20114868,24496310,20807142,10550775,6675900,2265600,368847,58665
County,01/01/2019 12:00:00 AM,04,AZ,04019,Pima County,197986.183561643836,849292.816438356164,1491612235,357025824,378335518,192917528,248625988,237059440,51632231,15992599,6681437,2037340,1304330
County,01/01/2019 12:00:00 AM,04,AZ,04021,Pinal County,86357.084931506849,376431.915068493151,617878593,136821442,136162708,66326586,85808673,117205719,60002398,10235147,3867176,849089,599655
County,01/01/2019 12:00:00 AM,04,AZ,04023,Santa Cruz County,8065.106849315068493,38432.893150684932,76685426,18964818,23027302,8554002,10678557,8230040,4063378,2537238,464605,121701,43785
County,01/01/2019 12:00:00 AM,04,AZ,04025,Yavapai County,48152.720547945205,186946.279452054795,343273699,70818819,95909433,42410720,54505666,55890338,14567153,6487883,2082511,402552,198624
County,01/01/2019 12:00:00 AM,04,AZ,04027,Yuma County,55621.106849315068,158165.893150684932,284571591,70001454,82667754,34920669,35665904,47228398,7003813,4276236,2077768,424399,305196
County,01/01/2019 12:00:00 AM,05,AR,05001,Arkansas County,3282.83013698630137,14203.169863013699,24734308,7110239,7948464,2755677,2009602,2714664,1386573,688275,97443,18193,5178
County,01/01/2019 12:00:00 AM,05,AR,05003,Ashley County,3324.865753424657534,16332.134246575342,26692723,4158246,8076836,4038649,3149501,4356609,1956321,733940,188993,30059,3569
County,01/01/2019 12:00:00 AM,05,AR,05005,Baxter County,9070.950684931506849,32861.049315068493,51485858,9253895,12817489,8714157,11400034,7374363,879994,660670,257716,55363,72177
County,01/01/2019 12:00:00 AM,05,AR,05007,Benton County,47976.38904109589,231164.61095890411,346612915,66894665,84218846,57132892,62823996,55738427,12641119,4747236,1645730,406198,363806
County,01/01/2019 12:00:00 AM,05,AR,05009,Boone County,6436.246575342465753,30995.753424657534,49801926,10198934,14555156,5005185,8114388,7937739,2592562,986144,257743,97252,56823
County,01/01/2019 12:00:00 AM,05,AR,05011,Bradley County,1798.268493150684932,8964.731506849315068,13007710,2736258,2512099,1737148,2570532,1812116,1023380,474189,135561,6427,0
County,01/01/2019 12:00:00 AM,05,AR,05013,Calhoun County,565.717808219178082,4623.282191780821918,6913116,1279698,1194140,735538,1062617,1514059,827432,202337,78014,14797,4484
County,01/01/2019 12:00:00 AM,05,AR,05015,Carroll County,4625.465753424657534,23754.534246575342,41206449,7532271,11741659,5714558,6700937,6264199,2467390,606182,109845,35589,33819
County,01/01/2019 12:00:00 AM,05,AR,05017,Chicot County,1461.641095890410959,8656.358904109589041,14397313,3491198,3389695,1194970,1878626,2835335,1184022,311671,90260,12147,9389
County,01/01/2019 12:00:00 AM,05,AR,05019,Clark County,3279.624657534246575,19040.375342465753,31589664,7063604,8446595,3345740,3526029,5026629,2721530,1199924,209830,44717,5066
County,01/01/2019 12:00:00 AM,05,AR,05021,Clay County,2248.498630136986301,12302.501369863014,23361548,3784555,7772832,2449253,3260001,2662882,2568271,740349,95610,22348,5447
County,01/01/2019 12:00:00 AM,05,AR,05023,Cleburne County,4350.76986301369863,20568.230136986301,32198546,5457486,9630334,4006816,5407218,4359346,2037760,1001612,217818,59153,21003
County,01/01/2019 12:00:00 AM,05,AR,05025,Cleveland County,966.315068493150685,6989.684931506849315,9517117,1703133,1980232,867055,1454197,1922051,963828,543671,58377,14051,10522
County,01/01/2019 12:00:00 AM,05,AR,05027,Columbia County,3943.345205479452055,19513.654794520548,30974900,6899646,8620745,2151806,5427668,4373404,2322066,830272,234111,92735,22447
County,01/01/2019 12:00:00 AM,05,AR,05029,Conway County,2663.728767123287671,18182.271232876712,29471251,5804108,6927192,3863129,4967568,5344918,1879327,539760,112972,21294,10983
County,01/01/2019 12:00:00 AM,05,AR,05031,Craighead County,18663.569863013699,91668.430136986301,147274056,27716530,44251262,23303308,26884057,15697032,4410356,3599910,1008588,242027,160986
County,01/01/2019 12:00:00 AM,05,AR,05033,Crawford County,9999.06027397260274,53257.939726027397,95981772,21602101,20079994,11060373,17407588,19132364,3727581,2306044,516762,117218,31747
County,01/01/2019 12:00:00 AM,05,AR,05035,Crittenden County,9810.372602739726027,38144.627397260274,65446047,18043599,18020842,7860777,5181052,10292394,3661669,1030951,1002408,306015,46340
County,01/01/2019 12:00:00 AM,05,AR,05037,Cross County,2269.484931506849315,14149.515068493151,25366803,5709250,8079990,2835472,2877681,3365700,1303317,932610,212938,37598,12247
County,01/01/2019 12:00:00 AM,05,AR,05039,Dallas County,1096.049315068493151,5912.950684931506849,9996786,2155130,2758022,874407,800059,1850326,1184587,289012,76972,2132,6139
County,01/01/2019 12:00:00 AM,05,AR,05041,Desha County,2510.378082191780822,8850.621917808219178,12997788,3618201,2598098,1546951,2049662,1541202,1230225,309902,92089,4000,7458
County,01/01/2019 12:00:00 AM,05,AR,05043,Drew County,3004.249315068493151,15214.750684931507,23918098,5756681,6177276,2711161,3111235,3655496,1461151,670525,246309,36101,92163
County,01/01/2019 12:00:00 AM,05,AR,05045,Faulkner County,19663.257534246575,106343.742465753425,163747555,33204241,43414492,21820622,22386695,24620887,14357884,2644650,902263,221610,174211
County,01/01/2019 12:00:00 AM,05,AR,05047,Franklin County,2622.56986301369863,15092.430136986301,25991472,5267114,6550092,2573769,4943123,3225393,2728422,515436,138735,40601,8787
County,01/01/2019 12:00:00 AM,05,AR,05049,Fulton County,1756.304109589041096,10720.695890410959,17034687,2458104,4247648,1960783,3245093,2933499,1555891,524342,89989,14466,4872
County,01/01/2019 12:00:00 AM,05,AR,05051,Garland County,17540.471232876712,81845.528767123288,136294978,32308630,39317523,19966208,22083344,15145757,3925686,2668173,656820,147726,75111
County,01/01/2019 12:00:00 AM,05,AR,05053,Grant County,2456.86027397260274,15808.139726027397,25321830,4685247,6049312,2171689,3289843,5055480,3529869,334690,65973,15400,124327
County,01/01/2019 12:00:00 AM,05,AR,05055,Greene County,8947.835616438356164,36377.164383561644,64884949,12808226,19433256,9451013,6183676,11100193,4238357,983656,497842,131977,56753
County,01/01/2019 12:00:00 AM,05,AR,05057,Hempstead County,2664.032876712328767,18867.967123287671,29792118,6424789,8359929,2679692,3646119,5025122,2840370,583087,193707,26200,13103
County,01/01/2019 12:00:00 AM,05,AR,05059,Hot Spring County,4298.112328767123288,29472.887671232877,50140450,11669417,11904556,6374686,6647397,8765806,3259724,1075986,277871,86129,78878
County,01/01/2019 12:00:00 AM,05,AR,05061,Howard County,2290.684931506849315,10911.315068493151,20818235,5722321,5278136,1394696,3613810,2578042,1666539,403761,123515,24415,13000
County,01/01/2019 12:00:00 AM,05,AR,05063,Independence County,5930.254794520547945,31894.745205479452,51453861,8530256,12682442,7759689,8979710,8738635,3207838,891805,550625,85381,27480
County,01/01/2019 12:00:00 AM,05,AR,05065,Izard County,2637.504109589041096,10991.495890410959,19510534,3599990,5748470,2359661,2159169,3747686,1555332,236373,71591,16863,15399
County,01/01/2019 12:00:00 AM,05,AR,05067,Jackson County,3538.23013698630137,13180.769863013699,20420034,4460246,4849536,2703267,1917913,3593679,2101065,576242,157216,36825,24045
County,01/01/2019 12:00:00 AM,05,AR,05069,Jefferson County,12640.378082191781,54183.621917808219,101633120,27232086,26941760,14946193,14311994,10167141,5408739,2138012,393416,78189,15590
County,01/01/2019 12:00:00 AM,05,AR,05071,Johnson County,3571.10958904109589,23006.890410958904,40666434,8361333,10146138,4800895,7528690,6542096,2026852,969303,228626,47598,14903
County,01/01/2019 12:00:00 AM,05,AR,05073,Lafayette County,982.56986301369863,5641.43013698630137,9159171,1830937,1720310,843779,1899012,1469005,1028964,278152,81561,6436,1015
County,01/01/2019 12:00:00 AM,05,AR,05075,Lawrence County,2678.668493150684932,13727.331506849315,22595117,3883553,6925504,2113041,2523229,3966296,2597190,426071,129132,21221,9880
County,01/01/2019 12:00:00 AM,05,AR,05077,Lee County,1426.6,7430.4,13293819,3677483,3146450,1071484,1496547,2861293,631885,283088,92610,32979,0
County,01/01/2019 12:00:00 AM,05,AR,05079,Lincoln County,1442.715068493150685,11581.284931506849,18298274,3636414,4093879,1817323,3477486,2800588,1865053,533035,51789,10007,12700
County,01/01/2019 12:00:00 AM,05,AR,05081,Little River County,1659.887671232876712,10599.112328767123,17688658,3195533,4324895,2361195,2317409,3722443,1276986,296600,159671,28158,5768
County,01/01/2019 12:00:00 AM,05,AR,05083,Logan County,3193.405479452054794,18272.594520547945,34852412,7707324,10512580,3445621,5215712,4964650,2313277,593652,71624,14832,13140
